Date,Close,Return
2015-01-05,166.62330627441406,-0.018059541255603606
2015-01-06,165.053955078125,-0.00941855753182863
2015-01-07,167.11073303222656,0.012461246100573753
2015-01-08,170.0760955810547,0.017744895824592266
2015-01-09,168.71315002441406,-0.008013739685075683
2015-01-12,167.39149475097656,-0.007833741905988068
2015-01-13,166.92074584960938,-0.0028122629651375908
2015-01-14,165.9129638671875,-0.006037487894583582
2015-01-15,164.39305114746094,-0.009160903911904383
2015-01-16,166.54898071289062,0.013114481119374188
2015-01-20,166.9041748046875,0.0021326704629263116
2015-01-21,167.74667358398438,0.005047799315282431
2015-01-22,170.24119567871094,0.014870769365674885
2015-01-23,169.30787658691406,-0.005482333979598519
2015-01-26,169.7042999267578,0.002341434715473767
2015-01-27,167.4658966064453,-0.013190021238581262
2015-01-28,165.31826782226562,-0.012824275435772692
2015-01-29,166.84642028808594,0.009243699960994167
2015-01-30,164.74827575683594,-0.012575304448409708
2015-02-02,166.78860473632812,0.012384524026847199
2015-02-03,169.20050048828125,0.014460794583455172
2015-02-04,168.55618286132812,-0.003808012535977956
2015-02-05,170.25782775878906,0.010095416665082402
2015-02-06,169.78695678710938,-0.0027656347897659916
2015-02-09,169.02699279785156,-0.004475985691943962
2015-02-10,170.82777404785156,0.010653808721271307
2015-02-11,170.92684936523438,0.0005799719509020917
2015-02-12,172.5706024169922,0.009616704794256581
2015-02-13,173.28099060058594,0.00411650752587156
2015-02-17,173.55360412597656,0.0015732454232040283
2015-02-18,173.5701141357422,9.512916685761041e-05
2015-02-19,173.44622802734375,-0.0007137525317379989
2015-02-20,174.48703002929688,0.006000718573072827
2015-02-23,174.46217346191406,-0.00014245510040855613
2015-02-24,174.95782470703125,0.002841024133093173
2015-02-25,174.80914306640625,-0.0008498141816404292
2015-02-26,174.60264587402344,-0.001181272265057487
2015-02-27,174.0079345703125,-0.00340608414456689
2015-03-02,175.1064910888672,0.006313255319462474
2015-03-03,174.38787841796875,-0.004103860835939721
2015-03-04,173.6527099609375,-0.004215708475271529
2015-03-05,173.84271240234375,0.001094151893448636
2015-03-06,171.39768981933594,-0.014064567615287848
2015-03-09,172.10804748535156,0.004144499653200517
2015-03-10,169.31613159179688,-0.016221878839176918
2015-03-11,168.9196014404297,-0.0023419513996645325
2015-03-12,171.06729125976562,0.01271427235810374
2015-03-13,170.01824951171875,-0.006132333892245434
2015-03-16,172.28976440429688,0.013360418067482449
2015-03-17,171.77764892578125,-0.002972408026015394
